accession,organism,type,start,end,length,strand,label
MH348156,Swietenia macrophylla,tRNA,2,77,75,-1,0
MH348156,Swietenia macrophylla,CDS,285,1347,1062,-1,1
MH348156,Swietenia macrophylla,tRNA,1619,4220,2601,-1,0
MH348156,Swietenia macrophylla,CDS,1931,3449,1518,-1,1
MH348156,Swietenia macrophylla,CDS,5087,6211,1124,-1,1
MH348156,Swietenia macrophylla,tRNA,7835,7907,72,-1,0
MH348156,Swietenia macrophylla,CDS,8261,8447,186,1,1
MH348156,Swietenia macrophylla,CDS,8815,8926,111,1,1
MH348156,Swietenia macrophylla,tRNA,9070,9158,88,-1,0
MH348156,Swietenia macrophylla,tRNA,9935,10735,800,1,0
MH348156,Swietenia macrophylla,tRNA,10890,10962,72,1,0
MH348156,Swietenia macrophylla,CDS,11153,12671,1518,-1,1
MH348156,Swietenia macrophylla,CDS,12726,14042,1316,-1,1
MH348156,Swietenia macrophylla,CDS,14520,14766,246,-1,1
MH348156,Swietenia macrophylla,CDS,15954,16698,744,-1,1
MH348156,Swietenia macrophylla,CDS,16927,17638,711,-1,1
MH348156,Swietenia macrophylla,CDS,17818,22012,4194,-1,1
MH348156,Swietenia macrophylla,CDS,22195,25007,2812,-1,1
MH348156,Swietenia macrophylla,CDS,25033,28246,3213,-1,1
MH348156,Swietenia macrophylla,tRNA,29301,29382,81,1,0
MH348156,Swietenia macrophylla,CDS,30096,30186,90,1,1
MH348156,Swietenia macrophylla,CDS,31278,31392,114,-1,1
MH348156,Swietenia macrophylla,tRNA,31939,32013,74,-1,0
MH348156,Swietenia macrophylla,tRNA,32494,32578,84,-1,0
MH348156,Swietenia macrophylla,tRNA,32637,32710,73,-1,0
MH348156,Swietenia macrophylla,tRNA,33516,33588,72,1,0
MH348156,Swietenia macrophylla,CDS,34826,35888,1062,1,1
MH348156,Swietenia macrophylla,CDS,35835,37257,1422,1,1
MH348156,Swietenia macrophylla,tRNA,37497,37590,93,-1,0
MH348156,Swietenia macrophylla,CDS,37938,38127,189,1,1
MH348156,Swietenia macrophylla,tRNA,38707,38778,71,1,0
MH348156,Swietenia macrophylla,tRNA,38947,39021,74,-1,0
MH348156,Swietenia macrophylla,CDS,39183,39486,303,-1,1
MH348156,Swietenia macrophylla,CDS,39627,41832,2205,-1,1
MH348156,Swietenia macrophylla,CDS,41857,44110,2253,-1,1
MH348156,Swietenia macrophylla,CDS,44760,46797,2037,-1,1
MH348156,Swietenia macrophylla,tRNA,47680,47767,87,1,0
MH348156,Swietenia macrophylla,CDS,48068,48674,606,-1,1
MH348156,Swietenia macrophylla,tRNA,49032,49105,73,-1,0
MH348156,Swietenia macrophylla,tRNA,50088,50703,615,1,0
MH348156,Swietenia macrophylla,tRNA,51073,51146,73,1,0
MH348156,Swietenia macrophylla,CDS,51598,52075,477,-1,1
MH348156,Swietenia macrophylla,CDS,52188,52872,684,-1,1
MH348156,Swietenia macrophylla,CDS,52930,53293,363,-1,1
MH348156,Swietenia macrophylla,tRNA,54196,54862,666,-1,0
MH348156,Swietenia macrophylla,tRNA,55053,55125,72,1,0
MH348156,Swietenia macrophylla,CDS,55377,55779,402,-1,1
MH348156,Swietenia macrophylla,CDS,55775,57272,1497,-1,1
MH348156,Swietenia macrophylla,CDS,58049,59477,1428,1,1
MH348156,Swietenia macrophylla,CDS,60029,61505,1476,1,1
MH348156,Swietenia macrophylla,CDS,62223,62337,114,1,1
MH348156,Swietenia macrophylla,CDS,62773,63328,555,1,1
MH348156,Swietenia macrophylla,CDS,64257,64956,699,1,1
MH348156,Swietenia macrophylla,CDS,65185,66148,963,1,1
MH348156,Swietenia macrophylla,CDS,67140,67263,123,-1,1
MH348156,Swietenia macrophylla,CDS,67405,67522,117,-1,1
MH348156,Swietenia macrophylla,CDS,67544,67664,120,-1,1
MH348156,Swietenia macrophylla,CDS,67673,67925,252,-1,1
MH348156,Swietenia macrophylla,CDS,69210,69306,96,1,1
MH348156,Swietenia macrophylla,CDS,69472,69586,114,1,1
MH348156,Swietenia macrophylla,tRNA,69727,69800,73,-1,0
MH348156,Swietenia macrophylla,tRNA,69971,70045,74,-1,0
